"title", price, sold, url
"Five Dancewear Leotard", $20.00, Sold, https://www.ebay.com/itm/Five-Dancewear-Leotard/274374774449?hash=item3fe202ceb1:g:1aAAAOSwVepeyVS3
"Youth Five Dancewear Black Leotard YXL", $30.00, Sold, https://www.ebay.com/itm/Youth-Five-Dancewear-Black-Leotard-YXL/333604119453?hash=item4dac5ae39d:g:vMwAAOSw8Sdexc~l
"Five Dancewear Poise leo (YL) - BRAND NEW - Never Opened - With Tags", $35.00, Sold, https://www.ebay.com/itm/Five-Dancewear-Poise-leo-YL-BRAND-NEW-Never-Opened-With-Tags/114227188002?hash=item1a98789122:g:oG0AAOSwyppewbar
"Five Dancewear Allie leo (YL) - BRAND NEW - Never Opened - With Tags", $40.00 $55.00, Sold, https://www.ebay.com/itm/Five-Dancewear-Allie-leo-YL-BRAND-NEW-Never-Opened-With-Tags/114227184693?hash=item1a98788435:g:ASEAAOSwKJxewbE5
"Un used! Five Dancewear PA Red London Leotard", $40.00, Sold, https://www.ebay.com/itm/Un-used-Five-Dancewear-PA-Red-London-Leotard/124194156168?hash=item1cea8c6e88:g:51gAAOSwb05evFip
"Five dancewear girls leotard navy, white , burgandy sz YXL. NWT", $42.99, Sold, https://www.ebay.com/itm/Five-dancewear-girls-leotard-navy-white-burgandy-sz-YXL-NWT/193474533753?hash=item2d0bfb1979:g:5IsAAOSwGytehM8z
"Five Dancewear Child Leotard - Youth Large - White - Excellent Condition 2019", $34.99, Sold, https://www.ebay.com/itm/Five-Dancewear-Child-Leotard-Youth-Large-White-Excellent-Condition-2019/193373786814?hash=item2d05f9d2be:g:MVwAAOSwZKJeZBez
"Five Dancewear Leotard", $25.00, Sold, https://www.ebay.com/itm/Five-Dancewear-Leotard/274371146235?hash=item3fe1cb71fb:g:4VQAAOSwEmNexPQ2
"Five Dancewear Top Sports Bra", $12.50, Sold, https://www.ebay.com/itm/Five-Dancewear-Top-Sports-Bra/274368494270?hash=item3fe1a2fabe:g:758AAOSwua1ewU7K
"Five Dancewear- Girls Youth", $26.00 $45.00, Sold, https://www.ebay.com/itm/Five-Dancewear-Girls-Youth/124189612523?hash=item1cea4719eb:g:nbwAAOSw549et1tC
"Five Dancewear Red Leotard", $23.00, Sold, https://www.ebay.com/itm/Five-Dancewear-Red-Leotard/274366643194?hash=item3fe186bbfa:g:E6cAAOSwOvZevp~t
"Five Dancewear Odyssey MA Leo", $15.50, Sold, https://www.ebay.com/itm/Five-Dancewear-Odyssey-MA-Leo/274366634929?hash=item3fe1869bb1:g:VEUAAOSwewpevpdi
"Five Dancewear - Youth Large crop top Burgundy", $5.50, Sold, https://www.ebay.com/itm/Five-Dancewear-Youth-Large-crop-top-Burgundy/362994693188?hash=item54842b7444:g:KoUAAOSwhnZeve-N
"Un used! Five Dancewear PA Red London Leotard", $40.00, Sold, https://www.ebay.com/itm/Un-used-Five-Dancewear-PA-Red-London-Leotard/124186195644?hash=item1cea12f6bc:g:51gAAOSwb05evFip
"Five Dancewear Womens PA Red EUC Leotard", $40.00, Sold, https://www.ebay.com/itm/Five-Dancewear-Womens-PA-Red-EUC-Leotard/184238538195?hash=item2ae578fdd3:g:vXEAAOSwvXNeh502
"Five dancewear girls leotard navy, white , burgandy sz YXL. NWT", $42.99, Sold, https://www.ebay.com/itm/Five-dancewear-girls-leotard-navy-white-burgandy-sz-YXL-NWT/193463710755?hash=item2d0b55f423:g:5IsAAOSwGytehM8z
"Five Dancewear Leotard- Girls Youth", $30.00, Sold, https://www.ebay.com/itm/Five-Dancewear-Leotard-Girls-Youth/124181966332?hash=item1ce9d26dfc:g:J1IAAOSw3RZet151
"Five Dancewear- Girls Youth", $36.00, Sold, https://www.ebay.com/itm/Five-Dancewear-Girls-Youth/124181965369?hash=item1ce9d26a39:g:Cx4AAOSwWNRet13g
"Five Dancewear Youth Leotard", $35.00, Sold, https://www.ebay.com/itm/Five-Dancewear-Youth-Leotard/124181963429?hash=item1ce9d262a5:g:MkkAAOSwvyxet1vR
"Five Dancewear- Girls Youth", $25.00 $45.00, Sold, https://www.ebay.com/itm/Five-Dancewear-Girls-Youth/124181958949?hash=item1ce9d25125:g:nbwAAOSw549et1tC
"five dancewear yellow shorts sz YXL NWT", $28.99, Sold, https://www.ebay.com/itm/five-dancewear-yellow-shorts-sz-YXL-NWT/193465656464?hash=item2d0b73a490:g:dUAAAOSw4xNevbi~
"Five DanceWear Cross Front Open Back Leotard Adult Small Blue/Gray $76", $25.90, Sold, https://www.ebay.com/itm/Five-DanceWear-Cross-Front-Open-Back-Leotard-Adult-Small-Blue-Gray-76/124186502236?hash=item1cea17a45c:g:hroAAOSw9tFevMDg
"Five Dancewear Adult Leotard Size L", $20.50, Sold, https://www.ebay.com/itm/Five-Dancewear-Adult-Leotard-Size-L/313075351502?hash=item48e4bebfce:g:ymAAAOSw11JetBmO
"Five DanceWear Cross Front Open Back Leotard Adult Small Blue And Grey", $40.00, Sold, https://www.ebay.com/itm/Five-DanceWear-Cross-Front-Open-Back-Leotard-Adult-Small-Blue-And-Grey/124186200919?hash=item1cea130b57:g:JjgAAOSwli9evFpA
"Five Dancewear Black Amore Leotard with Lace Size PA", $45.00, Sold, https://www.ebay.com/itm/Five-Dancewear-Black-Amore-Leotard-with-Lace-Size-PA/184256276970?hash=item2ae687a9ea:g:pKwAAOSwHIlemM21
"Five Dancewear Leotard- Youth Large", $27.99, Sold, https://www.ebay.com/itm/Five-Dancewear-Leotard-Youth-Large/164189754686?hash=item263a78d53e:g:XhwAAOSw1T1etHmA
"five dancewear leotard, size small, black, nylon-spandex, new condition", $17.50, Sold, https://www.ebay.com/itm/five-dancewear-leotard-size-small-black-nylon-spandex-new-condition/392786426180?hash=item5b73e53944:g:h-kAAOSwvNper1Fq
"Five dancewear Leotard", $27.99, Sold, https://www.ebay.com/itm/Five-dancewear-Leotard/164185321480?hash=item263a353008:g:-0oAAOSwg~lesDl7
"Small Adult five dancewear Red And Black Lace leotard", $15.40, Sold, https://www.ebay.com/itm/Small-Adult-five-dancewear-Red-And-Black-Lace-leotard/254589647325?hash=item3b46b9b9dd:g:7~oAAOSwiI1esvgh
