"title", source, price, sold, size, url
"2019 Topps Allen & Ginter Autograph *** VINCENT STIO Mini Frame Auto MINT", eBay, $19.95, Available, Unknown, https://www.ebay.com/itm/2019-Topps-Allen-Ginter-Autograph-VINCENT-STIO-Mini-Frame-Auto-MINT/203031397195?hash=item2f459d434b:g:bjAAAOSwuHle9Mn0
"2019 Topps Allen & Ginter #156 Vincent Stio Umpire Fan Lot of 2", eBay, $2.25, Available, Unknown, https://www.ebay.com/itm/2019-Topps-Allen-Ginter-156-Vincent-Stio-Umpire-Fan-Lot-of-2/353118312156?hash=item52377dd6dc:g:W1EAAOSwfDle9C3y
"Stio Women Blue Long Sleeve Button-Down Shirt M", eBay, $28.99, Available, Unknown, https://www.ebay.com/itm/Stio-Women-Blue-Long-Sleeve-Button-Down-Shirt-M/293625971118?hash=item445d78c1ae:g:5dUAAOSwGnJe8-C3
"2019 Allen & Ginter RELIC Vincent Stio", eBay, $4.00, Available, Unknown, https://www.ebay.com/itm/2019-Allen-Ginter-RELIC-Vincent-Stio/254634415624?hash=item3b4964d608:g:W4YAAOSws4te88Sh
"Womens Stio Gray Shorts Sz 2 Flat Front Hiking Athleisure", eBay, $14.99, Available, Unknown, https://www.ebay.com/itm/Womens-Stio-Gray-Shorts-Sz-2-Flat-Front-Hiking-Athleisure/153982290009?hash=item23da0f4859:g:ceEAAOSwUBJdN8a~
"Stio Mens Hometown Down Hoodie jacket new with tags", eBay, $270.00, Available, Unknown, https://www.ebay.com/itm/Stio-Mens-Hometown-Down-Hoodie-jacket-new-with-tags/114273668165?hash=item1a9b3dcc45:g:vKwAAOSw22Zeh4GL
"Stio Stillwater Supply Co. Men's Rambler Reversible Gray Plaid Jacket Medium EUC", eBay, $52.89, Available, Medium, https://www.ebay.com/itm/Stio-Stillwater-Supply-Co-Mens-Rambler-Reversible-Gray-Plaid-Jacket-Medium-EUC/184339128188?hash=item2aeb77df7c:g:DwoAAOSw3npe8sJk
"Stio Ski Pants "Blue" Waterproof Breathable Fabric sz Medium NWT", eBay, $185.75, Available, Medium, https://www.ebay.com/itm/Stio-Ski-Pants-Blue-Waterproof-Breathable-Fabric-sz-Medium-NWT/264773446352?hash=item3da5ba2ad0:g:mYcAAOSwo8te8izw
"Black Underwire Bikini Stio Black size Large", eBay, $10.00, Available, Large, https://www.ebay.com/itm/Black-Underwire-Bikini-Stio-Black-size-Large/233627943890?hash=item36654f83d2:g:oz8AAOSwqHtelKrC
"Stio NWT Women's XS 1160 W's Hometown down coat Gray/Silver w/Blue lining", eBay, $144.00, Available, Xsmall, https://www.ebay.com/itm/Stio-NWT-Womens-XS-1160-Ws-Hometown-down-coat-Gray-Silver-w-Blue-lining/283924420177?hash=item421b36d651:g:S60AAOSw0NZeOy~1
"STIO “Rivet Stretch” Canvas Pants", eBay, $30.00, Available, Unknown, https://www.ebay.com/itm/STIO-Rivet-Stretch-Canvas-Pants/143638807439?hash=item21718a438f:g:FakAAOSwL0Je8fbE
"2019 Topps Allen & Ginter - Vincent Stio - Yankees Famous Umpire Fan", eBay, $2.10, Available, Unknown, https://www.ebay.com/itm/2019-Topps-Allen-Ginter-Vincent-Stio-Yankees-Famous-Umpire-Fan/153980846899?hash=item23d9f94333:g:ZZ8AAOSw6xZe5d14
"NEW Stio Trucker Hat Red Fishing Foam Flat Bill One Size", eBay, $20.00, Available, Unknown, https://www.ebay.com/itm/NEW-Stio-Trucker-Hat-Red-Fishing-Foam-Flat-Bill-One-Size/324206887432?hash=item4b7c3c8208:g:5TAAAOSw1dVekorY
"2019 Topps Allen & Ginter's Mini Non-Baseball Vincent Stio #MA-VS Rookie Auto", eBay, $17.79, Available, Unknown, https://www.ebay.com/itm/2019-Topps-Allen-Ginters-Mini-Non-Baseball-Vincent-Stio-MA-VS-Rookie-Auto/233626877825?hash=item36653f3f81:g:A9sAAOSwzMFe8K2B
"2019 Allen & Ginter Vincent Stio And Mike Oz RELIC (2) CARD LOT!", eBay, $9.99, Available, Unknown, https://www.ebay.com/itm/2019-Allen-Ginter-Vincent-Stio-And-Mike-Oz-RELIC-2-CARD-LOT/353114469243?hash=item523743337b:g:k5MAAOSwMMNe766Q
"Sick Flexi Soft FX03-XTIO 84002 + FX0-STIO 68002 (2 units) = TOTAL 3 UNITS", eBay, $120.00 $180.00, Available, Unknown, https://www.ebay.com/itm/Sick-Flexi-Soft-FX03-XTIO-84002-FX0-STIO-68002-2-units-TOTAL-3-UNITS/353114420868?hash=item5237427684:g:2~UAAOSwtYxeVCzB
"STIO jackson hole wyoming olive green 2040 1112 pants 32 x 27", eBay, $23.08, Available, Unknown, https://www.ebay.com/itm/STIO-jackson-hole-wyoming-olive-green-2040-1112-pants-32-x-27/324205115346?hash=item4b7c2177d2:g:hDcAAOSwel9eXE79
"2019 TOPPS ALLEN & GINTER SINGLES W/RC'S ***YOU PICK*** #'S 150 - 300", eBay, $0.99, Available, Unknown, https://www.ebay.com/itm/2019-TOPPS-ALLEN-GINTER-SINGLES-W-RCS-YOU-PICK-S-150-300/164251911588?hash=item263e2d45a4:g:u18AAOSw9KZe7AmE
"2019 Topps Allen and Ginter Assorted Mini (A5887) - You Pick - 10+ FREE SHIP", eBay, $1.99, Available, Unknown, https://www.ebay.com/itm/2019-Topps-Allen-and-Ginter-Assorted-Mini-A5887-You-Pick-10-FREE-SHIP/233622454434?hash=item3664fbc0a2:g:SrMAAOSwtzle6rND
"2019 Topps Allen and Ginter Card #s 1-250 (A5887) - You Pick - 10+ FREE SHIP", eBay, $0.99, Available, Unknown, https://www.ebay.com/itm/2019-Topps-Allen-and-Ginter-Card-s-1-250-A5887-You-Pick-10-FREE-SHIP/233622437554?hash=item3664fb7eb2:g:6xYAAOSwWVxe6q7y
"M'S NWT $399 STIO RAYMER HOODED JACKET SKI WINTER WATER/WIND PROOF LARGE 2415F19", eBay, $299.99, Available, Large, https://www.ebay.com/itm/MS-NWT-399-STIO-RAYMER-HOODED-JACKET-SKI-WINTER-WATER-WIND-PROOF-LARGE-2415F19/174320488022?hash=item28964f8e56:g:VmoAAOSw6JJe6q22
"STIO Beanie Hat w/Jackalope", eBay, $19.99, Available, Unknown, https://www.ebay.com/itm/STIO-Beanie-Hat-w-Jackalope/203023667127?hash=item2f45274fb7:g:-CMAAOSwFHteAFIx
"STIO WOMEN'S COTTON RED FLANNEL PLAID LONG SLEEVE BLOUSE  SIZE M", eBay, $35.00, Available, Unknown, https://www.ebay.com/itm/STIO-WOMENS-COTTON-RED-FLANNEL-PLAID-LONG-SLEEVE-BLOUSE-SIZE-M/264765763043?hash=item3da544ede3:g:ptAAAOSwjKNeb7Cf:sc:USPSFirstClass!94024!US!-1
"Stio Women Gray Long Sleeve Button-Down Shirt L", eBay, $25.99, Available, Unknown, https://www.ebay.com/itm/Stio-Women-Gray-Long-Sleeve-Button-Down-Shirt-L/293615372515?hash=item445cd708e3:g:r0MAAOSwuRpe6LsE
"1PC Window Background English Epidemic Prevention Propaganda Wall StiO_ES", eBay, $4.00, Available, Unknown, https://www.ebay.com/itm/1PC-Window-Background-English-Epidemic-Prevention-Propaganda-Wall-StiO-ES/233620904215?hash=item3664e41917:g:LXQAAOSwKWVejbJa
"Stio Women Pink 3/4 Sleeve Button-Down Shirt S", eBay, $26.99, Available, Unknown, https://www.ebay.com/itm/Stio-Women-Pink-3-4-Sleeve-Button-Down-Shirt-S/293614740680?hash=item445ccd64c8:g:lIUAAOSwCi5e6AXv
"Phoenix Contact Typ STIO-IN 2.5/3 Terminal Block 250V LOT OF 25", eBay, $54.59, Available, Unknown, https://www.ebay.com/itm/Phoenix-Contact-Typ-STIO-IN-2-5-3-Terminal-Block-250V-LOT-OF-25/303597150768?hash=item46afcce230:g:FFsAAOSwYE9e56l0:sc:USPSPriority!94024!US!-1
"Stio Women’s Pinedale Pant Size 6 Elmwood Khaki Tan Hiking", eBay, $99.97, Available, Unknown, https://www.ebay.com/itm/Stio-Women-s-Pinedale-Pant-Size-6-Elmwood-Khaki-Tan-Hiking/283915518029?hash=item421aaf004d:g:3coAAOSwX2tea45C
"120pcs Round Thank you Self-Adhesive sticker Paper Labels Seal StiO bf", eBay, $3.11, Available, Unknown, https://www.ebay.com/itm/120pcs-Round-Thank-you-Self-Adhesive-sticker-Paper-Labels-Seal-StiO-bf/373081894545?hash=item56dd69ee91:g:Q0cAAOSwEkJdY4wB
"100pcs/lot Chinese fu Round Seal sticker For handmade baking products stiO bf", eBay, $3.13, Available, Unknown, https://www.ebay.com/itm/100pcs-lot-Chinese-fu-Round-Seal-sticker-For-handmade-baking-products-stiO-bf/392835777251?hash=item5b76d642e3:g:52QAAOSwhLRd4M2F
"Stio Boys Blue Long Sleeve Button-Down Shirt 10", eBay, $23.99, Available, Unknown, https://www.ebay.com/itm/Stio-Boys-Blue-Long-Sleeve-Button-Down-Shirt-10/293610577225?hash=item445c8ddd49:g:ap4AAOSwmjZe4rgJ
"Stio Mens Medium Blue Plaid Short Sleeve Western Snap Down Shirt", eBay, $47.99, Available, Medium, https://www.ebay.com/itm/Stio-Mens-Medium-Blue-Plaid-Short-Sleeve-Western-Snap-Down-Shirt/203018738546?hash=item2f44dc1b72:g:ctMAAOSwvchdrH1k
"Phoenix Contact Typ STIO-IN 2.5/3 Terminal Block 250V LOT OF 23", eBay, $50.39, Available, Unknown, https://www.ebay.com/itm/Phoenix-Contact-Typ-STIO-IN-2-5-3-Terminal-Block-250V-LOT-OF-23/293610131160?hash=item445c870ed8:g:DrMAAOSwevRe4kmc:sc:USPSPriority!94024!US!-1
"Stio NWT Mens Shorts Gray Size 30", eBay, $39.95, Available, Unknown, https://www.ebay.com/itm/Stio-NWT-Mens-Shorts-Gray-Size-30/264760610681?hash=item3da4f64f79:g:Rv0AAOSwSTFe4kR8
"Stio Women Black Short Sleeve T-Shirt XL", eBay, $50.99, Available, XLarge, https://www.ebay.com/itm/Stio-Women-Black-Short-Sleeve-T-Shirt-XL/124219654008?hash=item1cec117f78:g:cWAAAOSwXf9e4hRv
"2019 Topps Allen & Ginter X Vincent Stio #156 Umpire Fan", eBay, $0.99, Available, Unknown, https://www.ebay.com/itm/2019-Topps-Allen-Ginter-X-Vincent-Stio-156-Umpire-Fan/373079216458?hash=item56dd41114a:g:OFkAAOSwh9Je4EuN
"STIO Men's Coburn Pants Blue Mirage Stretchy Nylon Hiking Camping Size 36x31", eBay, $52.00, Available, Unknown, https://www.ebay.com/itm/STIO-Mens-Coburn-Pants-Blue-Mirage-Stretchy-Nylon-Hiking-Camping-Size-36x31/283907420512?hash=item421a337160:g:4mEAAOSwNZNe3E2k
"Men's Stio 2107 Gannet Peak Lounge Pant  Size M - Evergreen", eBay, $118.00, Available, Unknown, https://www.ebay.com/itm/Mens-Stio-2107-Gannet-Peak-Lounge-Pant-Size-M-Evergreen/264757414121?hash=item3da4c588e9:g:Yl4AAOSw3e1e3l8c:sc:USPSFirstClass!94024!US!-1
"Stio Divide DriRelease Navy Blue Casual Tech Polo Shirt Mens Large", eBay, $23.99, Available, Large, https://www.ebay.com/itm/Stio-Divide-DriRelease-Navy-Blue-Casual-Tech-Polo-Shirt-Mens-Large/392829246306?hash=item5b76729b62:g:za0AAOSwklZe3OOC
"VINCENT STIO 2019 Allen & Ginter GOLD BORDER Hot Box - UMPIRE FAN - #156", eBay, $1.00, Available, Unknown, https://www.ebay.com/itm/VINCENT-STIO-2019-Allen-Ginter-GOLD-BORDER-Hot-Box-UMPIRE-FAN-156/303588525869?hash=item46af49472d:g:l14AAOSwul1e2u~V
"NWT Stio Women's Medium 1396 Poplar Mountain Iris Plaid Shirt", eBay, $48.87, Available, Medium, https://www.ebay.com/itm/NWT-Stio-Womens-Medium-1396-Poplar-Mountain-Iris-Plaid-Shirt/133429971901?hash=item1f110bcbbd:g:eZUAAOSwOkle2akM
"Stio Women's Medium Long Sleeve Blue Plaid Flannel Shirt", eBay, $46.47, Available, Medium, https://www.ebay.com/itm/Stio-Womens-Medium-Long-Sleeve-Blue-Plaid-Flannel-Shirt/133429216448?hash=item1f110044c0:g:PeIAAOSwaspe2HRs
"Stio Size MEDIUM Mens Gray Lined Swim / Running Shorts + FAST SHIPPING!!!", eBay, $39.99, Available, Medium, https://www.ebay.com/itm/Stio-Size-MEDIUM-Mens-Gray-Lined-Swim-Running-Shorts-FAST-SHIPPING/174305661039?hash=item28956d506f:g:Un4AAOSwE25e2AvC
"STIO Men's Raymer Jacket Caldera Red sz MEDIUM NWT", eBay, $178.80, Available, Medium, https://www.ebay.com/itm/STIO-Mens-Raymer-Jacket-Caldera-Red-sz-MEDIUM-NWT/264752684010?hash=item3da47d5bea:g:-zwAAOSwmjZe1~1z
"Stio Womens Harkin Snap Shirt Sz Small Green Teal Floral Long Sleeve", eBay, $23.99, Available, Small, https://www.ebay.com/itm/Stio-Womens-Harkin-Snap-Shirt-Sz-Small-Green-Teal-Floral-Long-Sleeve/274386599264?hash=item3fe2b73d60:g:z2oAAOSw5ERe1-Sr
"Stio Fleece Hoodie Jacket Gray Mens Medium Zip", eBay, $69.99, Available, Medium, https://www.ebay.com/itm/Stio-Fleece-Hoodie-Jacket-Gray-Mens-Medium-Zip/114247280247?hash=item1a99ab2677:g:IhgAAOSw0oFe19f~
"Stio women’s Modis Trench Coat", eBay, $125.99, Available, Unknown, https://www.ebay.com/itm/Stio-women-s-Modis-Trench-Coat/274386514783?hash=item3fe2b5f35f:g:BD0AAOSwrkJe18na
"Supermicro X8STI Intel LGA1366 ATX Server Motherboard", eBay, $59.99, Available, Unknown, https://www.ebay.com/itm/Supermicro-X8STI-Intel-LGA1366-ATX-Server-Motherboard/174303256822?epid=80298201&hash=item289548a0f6:g:HP8AAOSwevRe1U-c
"Stio Boys Red Long Sleeve Button-Down Shirt 12", eBay, $25.99, Available, Unknown, https://www.ebay.com/itm/Stio-Boys-Red-Long-Sleeve-Button-Down-Shirt-12/303584207097?hash=item46af0760f9:g:w9gAAOSwaKRe1PN6
"STIO Mens Gray/Blue Soft Shell Blazer Size 38", eBay, $49.99, Available, Unknown, https://www.ebay.com/itm/STIO-Mens-Gray-Blue-Soft-Shell-Blazer-Size-38/274380436948?hash=item3fe25935d4:g:iaUAAOSw0oBe0Ci6
"STIO Mens Tan Soft Shell BLazer Size 38", eBay, $49.99, Available, Unknown, https://www.ebay.com/itm/STIO-Mens-Tan-Soft-Shell-BLazer-Size-38/274380402812?hash=item3fe258b07c:g:e3wAAOSwrkJe0B2j
"Stio Women's Hometown Long Sleeve Hooded Down Parka SC4 Castlerock Large NWT", eBay, $199.99, Available, Large, https://www.ebay.com/itm/Stio-Womens-Hometown-Long-Sleeve-Hooded-Down-Parka-SC4-Castlerock-Large-NWT/303580922640?hash=item46aed54310:g:3YcAAOSwVhNe0BCD
"Stio Celestial Downwater Board Shorts Mens 2058 Guster Sz 33 Swim Trunks Suit", eBay, $39.99, Available, Unknown, https://www.ebay.com/itm/Stio-Celestial-Downwater-Board-Shorts-Mens-2058-Guster-Sz-33-Swim-Trunks-Suit/114238221054?hash=item1a9920eafe:g:gD8AAOSwuOdezfDE
"2019 Topps Allen & Ginter Baseball Gold Hot Box - Pick A Player - Cards 1-200", eBay, $1.79, Available, Unknown, https://www.ebay.com/itm/2019-Topps-Allen-Ginter-Baseball-Gold-Hot-Box-Pick-A-Player-Cards-1-200/143614159767?hash=item2170122b97:g:wc4AAOSwBAFeyyQD
"$1.00 Women's & Men's Fashion Catalog - STIO Summer 2020 - 52 Pages", eBay, $1.00, Available, Unknown, https://www.ebay.com/itm/1-00-Womens-Mens-Fashion-Catalog-STIO-Summer-2020-52-Pages/224021606912?hash=item3428ba7200:g:7k8AAOSwyw1eymwe
"Stio Lone Tree Men's Shirt X-Large Quiet Grey Plaid NWT", eBay, $79.99, Available, Large, https://www.ebay.com/itm/Stio-Lone-Tree-Mens-Shirt-X-Large-Quiet-Grey-Plaid-NWT/254606312924?hash=item3b47b805dc:g:f8AAAOSwUQleyaiU
"Pair Front CV Joint Axle Assembly Fit Saturn Ion Standard Trans M86 2.0L 05-07", eBay, $101.51, Available, XLarge, https://www.ebay.com/itm/Pair-Front-CV-Joint-Axle-Assembly-Fit-Saturn-Ion-Standard-Trans-M86-2-0L-05-07/324173656096?epid=2215632984&hash=item4b7a417020:g:MVUAAOSwqBtexzld
