"title", price, sold, size, url
"LaDuca Shoes Teresa T Strap shoe with taps", $150, Available, 9, https://poshmark.com/listing/LaDuca-Shoes-Teresa-T-Strap-shoe-with-taps-5ef10dbfcb692c0ebd71132b
"Capezio jazz shoes", $20, Available, 10.5, https://poshmark.com/listing/Capezio-jazz-shoes-5ef10cea81a36c9494b33f4a
"Capezio Dance Skirt - Glitter Tutu", $19, Available, 4/5, https://poshmark.com/listing/Capezio-Dance-Skirt-Glitter-Tutu-5ef0f85943895f6094f6dfdc
"Black Capezio dance shoes", $18, Available, 8, https://poshmark.com/listing/Black-Capezio-dance-shoes-5ee04d5209d7600d5e7e58c3
"NWT Capezio XL Short Sleeve Leotard", $16, Available, XLG, https://poshmark.com/listing/NWT-Capezio-XL-Short-Sleeve-Leotard-5ef0f4507ec30cdeba9124aa
"Dark Gary Capezio Large Tribal Swimsuit", $17, Available, M/L, https://poshmark.com/listing/Dark-Gary-Capezio-Large-Tribal-Swimsuit-5ef0f0d6800f64b50d9da843
"Capezio Tap Shoes", $15, Available, Length around 7 1/4”, https://poshmark.com/listing/Capezio-Tap-Shoes-5ef0f039ce1e87d91e6f7833
"Dark Grey Capezio Swimsuit Tribal Straps One Piece", $17, Available, XL, https://poshmark.com/listing/Dark-Grey-Capezio-Swimsuit-Tribal-Straps-One-Piece-5ef0eba6cb692c98396fe25a
"Capezio Burgundy Ballet Leotard Bodysuit - Medium", $20, Available, M, https://poshmark.com/listing/Capezio-Burgundy-Ballet-Leotard-Bodysuit-Medium-5ef0e9939c337834d06107d6
"Capezio- Teletone Tap Shoes", $20, Available, 7, https://poshmark.com/listing/Capezio-Teletone-Tap-Shoes-5ef0e08f3a0db92de79a086b
"Capezio vintage belt", $22, Available, M/L, https://poshmark.com/listing/Capezio-vintage-belt-5ef0df4d1629588969e79557
"Lace Front and Open-Back Capezio Leotard", $18, Available, Medium, https://poshmark.com/listing/Lace-Front-and-OpenBack-Capezio-Leotard-5ef0d9bf12d880216c384e07
"Moss Green Capezio Criss-Cross Leotard", $15, Available, Medium, https://poshmark.com/listing/Moss-Green-Capezio-CrissCross-Leotard-5ef0d915284e99e2c0970281
"Maroon/Plum Open-Back Capezio Leotard", $16, Available, Medium, https://poshmark.com/listing/MaroonPlum-OpenBack-Capezio-Leotard-5ef0d89c3cda8822cb9974ad
"NEW Capezio T-Strap Character Shoes", $55, Available, 9, https://poshmark.com/listing/NEW-Capezio-TStrap-Character-Shoes-5ee9259e3a0db9ac550a55ba
"Girls Black Long Sleeve Dance Leotard", $10, Available, T, https://poshmark.com/listing/Girls-Black-Long-Sleeve-Dance-Leotard-5ef0d6032a1eff6f82e384e6
"NWT pink Capezio tank leotard", $22, Available, Medium, https://poshmark.com/listing/NWT-pink-Capezio-tank-leotard-5ef0d5592ca9aba170193eaf
"Women’s camisole leotard", $6, Available, M, https://poshmark.com/listing/Womens-camisole-leotard-5ef0d153045e39c949f7b552
"Girls Dance Leotard", $10, Available, T, https://poshmark.com/listing/Girls-Dance-Leotard-5ef0cf34074d245d004098c8
"Bundle of strong exercise /dance bras", $25, Available, Large, https://poshmark.com/listing/Bundle-of-strong-exercise-dance-bras-5ef0c2f543895fca2bf5463c
"Capezio Black Dance Shorts", $8, Available, L, https://poshmark.com/listing/Capezio-Black-Dance-Shorts-5ef0bcc89eb49d500219a026
"Capezio 'BraTek' Spaghetti Strap Leotard", $20, Available, XL, https://poshmark.com/listing/Capezio-BraTek-Spaghetti-Strap-Leotard-5ef0b769771b8e86eae23f21
"Capezio Dance Shorts Low Rise Boy Cut Purple", $12, Available, S, https://poshmark.com/listing/Capezio-Dance-Shorts-Low-Rise-Boy-Cut-Purple-5ef0b7233a0db9bf3298ec33
"NWOT Capezio Women's Long Sleeve Pink Leotard (M)", $18, Available, M, https://poshmark.com/listing/NWOT-Capezio-Womens-Long-Sleeve-Pink-Leotard-M-5ef0b0544fd23adb6c6f098b
"Ballet leotard", $10, Available, Childs Large, https://poshmark.com/listing/Ballet-leotard-5ef0ac8c88cce391f2209e85
"High Waisted Medium Athletic Mint Capezio Shorts", $6, Available, Medium, https://poshmark.com/listing/High-Waisted-Medium-Athletic-Mint-Capezio-Shorts-5ef051b7ff8304532eba5b3f
"Vintage Black Faux Leather Capezio Bag", $5, Available, 13 X 12, https://poshmark.com/listing/Vintage-Black-Faux-Leather-Capezio-Bag-5ecdc83c446e59f2fdf03c52
"Capezio Long Sleeve Leotard bodysuit", $25, Available, L, https://poshmark.com/listing/Capezio-Long-Sleeve-Leotard-bodysuit-5ef0368993649fc2e0cfdd4b
"Capezio ballet wrap skirt NWOT small", $10, Available, S, https://poshmark.com/listing/Capezio-ballet-wrap-skirt-NWOT-small-5ef027e76e28465945c081e8
"Capezio Leather Ballroom Dance Shoes", $80, Available, 4, https://poshmark.com/listing/Capezio-Leather-Ballroom-Dance-Shoes-5ef0138406d59c68f1944dfb
"Capezio Pointe Shoes", $25, Available, 6, https://poshmark.com/listing/Capezio-Pointe-Shoes-5eefeba4efd0e460a801c011
"💯Leotard Long Sleeve Women’s size L", $20, Available, L, https://poshmark.com/listing/Leotard-Long-Sleeve-Womens-size-L-5eefe910180136fabab43f4d
"White Shorts", $15, Available, L, https://poshmark.com/listing/White-Shorts-5eefe3b43a0db97de926a34b
"Capezio dance bra top/swim top leopard print", $10, Available, S, https://poshmark.com/listing/Capezio-dance-bra-topswim-top-leopard-print-5eefe37f9e15591a5a6fc7c1
"Black Capezio Women's Dance Dansneaker Size 6 GUC", $30, Available, 7, https://poshmark.com/listing/Black-Capezio-Womens-Dance-Dansneaker-Size-6-GUC-5eefd3d5ffba94a04ae123ea
"Capezio Romeo Black Leather", $15, Available, , https://poshmark.com/listing/Capezio-Romeo-Black-Leather-5eefd21e2ca9abc698d591e7
"Capezio Canvas Juliet Ballet flat", $9, Available, , https://poshmark.com/listing/Capezio-Canvas-Juliet-Ballet-flat-5eefd050045e390a052ffe91
"Capezio Leather Cobra Ballet", $10, Available, , https://poshmark.com/listing/Capezio-Leather-Cobra-Ballet-5eefcd207ec30c6c545a5a90
"Capezio dance leotard L/XL", $12, Available, XL, https://poshmark.com/listing/Capezio-dance-leotard-LXL-5eefc7cd2ca9abc15bd53d1c
"🦋Miss Capezio Boots Western Leather/Suede Size 9", $99, Available, 9, https://poshmark.com/listing/Miss-Capezio-Boots-Western-LeatherSuede-Size-9-5eefc6fd162958ea24b34d33
"Dance/gymnastic leotard CL", $12, Available, CL/large, https://poshmark.com/listing/Dancegymnastic-leotard-CL-5eefbff6275e554b68a37819
"Capezio Black Patent Leather Mary Jane Tap Shoes", $14, Available, 2.5BB, https://poshmark.com/listing/Capezio-Black-Patent-Leather-Mary-Jane-Tap-Shoes-5eefc61288cce33cfe0c1680
"Vintage leather Capezio cowboy cowgirl boots 7.5", $75, Available, 7.5, https://poshmark.com/listing/Vintage-leather-Capezio-cowboy-cowgirl-boots-75-5eefc21c09d760c6264c1bdb
"Capezio leotard", $20, Available, Large, https://poshmark.com/listing/Capezio-leotard-5eefc01ec693bdef176fcf98
"Tap Shoes", $35, Available, 7G, https://poshmark.com/listing/Tap-Shoes-5eefbbdf2f3d196be4853511
"Light blue spandex athletic shorts", $7, Available, SG, https://poshmark.com/listing/Light-blue-spandex-athletic-shorts-5eefbc1c7ec30cfab559c785
"Capezio Dance Tights - Brand New", $8, Available, , https://poshmark.com/listing/Capezio-Dance-Tights-Brand-New-5eefb89fe13164f52fdac788
"Capezio tap shoes", $45, Available, 7.5, https://poshmark.com/listing/Capezio-tap-shoes-5eefb99fce1e87e8189af77e
"VNTG Capezio Pink Woven Leather Belt ML", $25, Available, M/L, https://poshmark.com/listing/VNTG-Capezio-Pink-Woven-Leather-Belt-ML-5eefb83a3cda8834f95b9d4a
"Leotard Coverup Chiffon Wrap", $15, Available, OS, https://poshmark.com/listing/Leotard-Coverup-Chiffon-Wrap-5eefb4e73a0db994d82519ec
"CAPEZIO Blue Leather Handbag", $20, Available, OS, https://poshmark.com/listing/CAPEZIO-Blue-Leather-Handbag-5eefaf6512d8806f8bc5d720
"Ballroom Dance Shoes", $69, Available, 8.5, https://poshmark.com/listing/Ballroom-Dance-Shoes-5eefa991275e55e8a7a2a183
"Capezio women’s em1 agility shoe", $15, Available, 4 M, https://poshmark.com/listing/Capezio-womens-em1-agility-shoe-5eefa5bcffba94a785df87fa
"Lot Two Capezio Footed Large Adult Tights", $13, Available, Adult Large, https://poshmark.com/listing/Lot-Two-Capezio-Footed-Large-Adult-Tights-5eef99afce5f1cab6f54a3f4
"Capezio black leotard", $7, Available, L, https://poshmark.com/listing/Capezio-black-leotard-5eef95fc691412c8326c4dba
"Capezio Nude Dance heels character shoes tan", $32, Available, 8, https://poshmark.com/listing/Capezio-Nude-Dance-heels-character-shoes-tan-5eef8a2e6e28461eb845f981
"Dance shoes size 7", $12, Available, 7, https://poshmark.com/listing/Dance-shoes-size-7-5eef88d0c936af507a407cad
"👟 Black Capezio Hip Hop Dance Shoes 👟", $16, Available, Big Girl 7 1/2, https://poshmark.com/listing/Black-Capezio-Hip-Hop-Dance-Shoes-5eef839a8da5c9e6ce72205b
"Sapphire Spandex Shorts", $7, Available, L, https://poshmark.com/listing/Sapphire-Spandex-Shorts-5eef80feae766f33549ff427
"🩰 Danskin Toddler Ballet & Capezio Tap Shoes 🩰", $12, Available, 9G, https://poshmark.com/listing/Danskin-Toddler-Ballet-Capezio-Tap-Shoes-5eef652a81a36cbd5c170e55
"Ballet Toe Pads", $13, Available, Small, https://poshmark.com/listing/Ballet-Toe-Pads-5eeee48dbcdb2fc6fde67c91
"Capezio pink tights - size L transition tights", $8, Available, L, https://poshmark.com/listing/Capezio-pink-tights-size-L-transition-tights-5eeee419ffba94d09bdc526f
"Capezio Fishnet tights size medium/tall", $15, Available, , https://poshmark.com/listing/Capezio-Fishnet-tights-size-mediumtall-5eeee2dbbb59378048675f90
"Capezio velvet leo", $10, Available, Intermediate, https://poshmark.com/listing/Capezio-velvet-leo-5eeec01e275e559e409e0b1a
"EUC CAPEZIO BLACK LEOTARD!", $16, Available, M, https://poshmark.com/listing/EUC-CAPEZIO-BLACK-LEOTARD-5eeeb0a64fd23a793b465d62
